,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_42_SGNS_historicalVAD,0.5043,0.0,0.3814,0.0001,0.0891,0.3778,0.3249
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_43_SGNS_historicalVAD,0.4918,0.0,0.3947,0.0,0.0926,0.3593,0.3264
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_44_SGNS_historicalVAD,0.4987,0.0,0.3859,0.0001,0.0898,0.3743,0.3248
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_45_SGNS_historicalVAD,0.4931,0.0,0.3888,0.0001,0.0924,0.3608,0.3248
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_46_SGNS_historicalVAD,0.4942,0.0,0.3894,0.0001,0.091,0.3677,0.3249
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_47_SGNS_historicalVAD,0.5056,0.0,0.3782,0.0001,0.0918,0.3636,0.3252
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_48_SGNS_historicalVAD,0.5027,0.0,0.3892,0.0001,0.0873,0.388,0.3264
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_49_SGNS_historicalVAD,0.496,0.0,0.3771,0.0001,0.0852,0.3993,0.3194
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_4_SGNS_historicalVAD,0.4985,0.0,0.3919,0.0001,0.0905,0.3706,0.327
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_50_SGNS_historicalVAD,0.5018,0.0,0.3881,0.0001,0.0882,0.3829,0.326
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_5_SGNS_historicalVAD,0.498,0.0,0.3764,0.0001,0.0962,0.3408,0.3236
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_6_SGNS_historicalVAD,0.4967,0.0,0.3894,0.0001,0.0911,0.3676,0.3257
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_7_SGNS_historicalVAD,0.5028,0.0,0.3849,0.0001,0.0876,0.3859,0.3251
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_8_SGNS_historicalVAD,0.4949,0.0,0.3796,0.0001,0.0898,0.3741,0.3214
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_9_SGNS_historicalVAD,0.5077,0.0,0.3821,0.0001,0.0909,0.3682,0.3269
Mean,0.497342,0.0,0.38391,9.800000000000004e-05,0.08971400000000002,0.37486800000000003,0.323654
