,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_45_SGNS_historicalVAD,0.5025,0.0,0.3724,0.0001,0.2698,0.0066,0.3815
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_46_SGNS_historicalVAD,0.5426,0.0,0.4167,0.0,0.2663,0.0074,0.4085
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_47_SGNS_historicalVAD,0.5397,0.0,0.3859,0.0001,0.2992,0.0025,0.4083
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_48_SGNS_historicalVAD,0.5134,0.0,0.4097,0.0,0.313,0.0015,0.412
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_49_SGNS_historicalVAD,0.5157,0.0,0.4002,0.0,0.3035,0.0021,0.4065
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_4_SGNS_historicalVAD,0.4934,0.0,0.4384,0.0,0.3056,0.002,0.4124
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_50_SGNS_historicalVAD,0.5108,0.0,0.4431,0.0,0.2866,0.0038,0.4135
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_5_SGNS_historicalVAD,0.5397,0.0,0.4141,0.0,0.3088,0.0018,0.4209
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_6_SGNS_historicalVAD,0.5512,0.0,0.4229,0.0,0.2902,0.0034,0.4214
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_7_SGNS_historicalVAD,0.5453,0.0,0.3911,0.0001,0.2922,0.0032,0.4096
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_8_SGNS_historicalVAD,0.5118,0.0,0.4108,0.0,0.3389,0.0006,0.4205
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_9_SGNS_historicalVAD,0.5505,0.0,0.4554,0.0,0.3232,0.001,0.4431
Mean,0.534608,0.0,0.411348,4e-05,0.29684400000000005,0.003862,0.414262
