,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_47_FastText_historicalVAD,0.4742,0.0,0.4282,0.0,0.2631,0.0082,0.3885
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_48_FastText_historicalVAD,0.4541,0.0,0.4181,0.0,0.2564,0.01,0.3762
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_49_FastText_historicalVAD,0.4865,0.0,0.4409,0.0,0.2929,0.0031,0.4068
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_4_FastText_historicalVAD,0.4379,0.0,0.4397,0.0,0.2543,0.0107,0.3773
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_50_FastText_historicalVAD,0.5092,0.0,0.4764,0.0,0.2677,0.0071,0.4178
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_5_FastText_historicalVAD,0.4583,0.0,0.4493,0.0,0.2416,0.0154,0.3831
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_6_FastText_historicalVAD,0.4369,0.0,0.4888,0.0,0.2471,0.0132,0.391
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_7_FastText_historicalVAD,0.4621,0.0,0.4406,0.0,0.2763,0.0054,0.393
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_8_FastText_historicalVAD,0.4784,0.0,0.4236,0.0,0.2534,0.011,0.3851
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_9_FastText_historicalVAD,0.473,0.0,0.4394,0.0,0.2443,0.0143,0.3856
Mean,0.48506,0.0,0.43494999999999995,6e-06,0.265996,0.009784,0.395336
