,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_43_FastText_historicalVAD,0.5746,0.0,0.4713,0.0,0.2258,0.0239,0.4239
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_44_FastText_historicalVAD,0.595,0.0,0.4448,0.0,0.235,0.0186,0.4249
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_45_FastText_historicalVAD,0.5759,0.0,0.451,0.0,0.2401,0.0161,0.4223
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_46_FastText_historicalVAD,0.5856,0.0,0.44,0.0,0.2366,0.0178,0.4208
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_47_FastText_historicalVAD,0.5675,0.0,0.4588,0.0,0.2354,0.0184,0.4205
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_48_FastText_historicalVAD,0.564,0.0,0.4261,0.0,0.2267,0.0233,0.4056
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_49_FastText_historicalVAD,0.5517,0.0,0.4584,0.0,0.2249,0.0245,0.4117
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_4_FastText_historicalVAD,0.5791,0.0,0.4682,0.0,0.2093,0.0367,0.4189
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_50_FastText_historicalVAD,0.5666,0.0,0.4391,0.0,0.2123,0.0339,0.406
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_5_FastText_historicalVAD,0.5847,0.0,0.421,0.0,0.2299,0.0214,0.4118
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_6_FastText_historicalVAD,0.593,0.0,0.4275,0.0,0.2073,0.0385,0.4093
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_7_FastText_historicalVAD,0.5682,0.0,0.4502,0.0,0.222,0.0264,0.4135
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_8_FastText_historicalVAD,0.5656,0.0,0.4378,0.0,0.1959,0.0507,0.3998
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_9_FastText_historicalVAD,0.5903,0.0,0.4408,0.0,0.2185,0.0289,0.4165
Mean,0.5781459999999999,0.0,0.4496079999999999,0.0,0.22362800000000005,0.026607999999999996,0.417118
