,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_46_FastText_historicalVAD,0.5472,0.0,0.4622,0.0,0.2443,0.0143,0.4179
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_47_FastText_historicalVAD,0.5334,0.0,0.4701,0.0,0.2403,0.016,0.4146
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_48_FastText_historicalVAD,0.5392,0.0,0.4567,0.0,0.2578,0.0096,0.4179
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_49_FastText_historicalVAD,0.5422,0.0,0.4573,0.0,0.2544,0.0106,0.418
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_4_FastText_historicalVAD,0.5365,0.0,0.4745,0.0,0.2483,0.0127,0.4198
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_50_FastText_historicalVAD,0.5401,0.0,0.4671,0.0,0.2506,0.0119,0.4193
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_5_FastText_historicalVAD,0.5399,0.0,0.443,0.0,0.2438,0.0145,0.4089
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_6_FastText_historicalVAD,0.5361,0.0,0.4671,0.0,0.2481,0.0128,0.4171
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_7_FastText_historicalVAD,0.5384,0.0,0.4611,0.0,0.236,0.0181,0.4119
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_8_FastText_historicalVAD,0.5338,0.0,0.459,0.0,0.2535,0.0109,0.4154
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_9_FastText_historicalVAD,0.5458,0.0,0.4632,0.0,0.2489,0.0125,0.4193
Mean,0.5378839999999999,0.0,0.463508,0.0,0.246456,0.013592,0.41595600000000005
