,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_42_SGNS_historicalVAD,0.511,0.0,0.4543,0.0,0.2123,0.034,0.3926
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_43_SGNS_historicalVAD,0.5858,0.0,0.4699,0.0,0.2258,0.0239,0.4272
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_44_SGNS_historicalVAD,0.5359,0.0,0.4478,0.0,0.1886,0.0603,0.3907
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_45_SGNS_historicalVAD,0.5474,0.0,0.4501,0.0,0.186,0.0639,0.3945
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_46_SGNS_historicalVAD,0.5636,0.0,0.4804,0.0,0.1686,0.0935,0.4042
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_47_SGNS_historicalVAD,0.5472,0.0,0.497,0.0,0.2225,0.0261,0.4222
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_48_SGNS_historicalVAD,0.5719,0.0,0.4415,0.0,0.2073,0.0385,0.4069
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_49_SGNS_historicalVAD,0.5597,0.0,0.5219,0.0,0.1622,0.1069,0.4146
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_4_SGNS_historicalVAD,0.5468,0.0,0.4569,0.0,0.1552,0.123,0.3863
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_50_SGNS_historicalVAD,0.5815,0.0,0.4595,0.0,0.1784,0.0757,0.4065
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_5_SGNS_historicalVAD,0.5566,0.0,0.453,0.0,0.1988,0.0474,0.4028
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_6_SGNS_historicalVAD,0.5746,0.0,0.4406,0.0,0.2518,0.0115,0.4223
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_7_SGNS_historicalVAD,0.4845,0.0,0.4687,0.0,0.1948,0.0521,0.3827
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_8_SGNS_historicalVAD,0.552,0.0,0.4646,0.0,0.2188,0.0288,0.4118
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_9_SGNS_historicalVAD,0.5459,0.0,0.3923,0.0001,0.1944,0.0526,0.3775
Mean,0.5515140000000001,0.0,0.4562280000000001,8e-06,0.18941000000000002,0.069254,0.399048
